,id,description,location
10620,1286894017,"#Bariatric +UGI Surgeon #obsmuk founder, @asmbs + @IfsoSecretariat comms  #diabetes #obesity  @mcgillu alumnus, soc med Editor @SOARD_JOURNAL , R&I director","Durham, County Durham, NE,  UK"
10642,1345069417797967873,Consultant Cardiologist & Professor of Cardiac Electrophysiology | Cardiovascular Clinical Director | St. Thomas' Hospital & King's College London.,"London, UK"
10705,1123997013199204352,"Cardiologist | Heart Failure, Cardiomyopathy and Imaging\n@RDMOxford @UniofOxford @QueensCollegeOx","Oxford, UK"
10735,799998288,"Cardiologist in #heart failure, #inherited cardiac diseases (#cardiomyopathies), cardiac #sarcoid and #imaging and Clinical Lead in #ICCs @OUHospitals","Oxford, England"
10767,1193781196846710784,Consultant Cardiologist London.  PA: Laurastacey.cardio@gmail.com     +44 7415 510585,"London, England"
10785,217636124,"Trainee Cardiologist. Clinical Research Fellow in Digital Health, National Heart & Lung Institute, Imperial College. \nInterventional Cardiology | Connected Care","London, England"
10827,131971190,"Cardiologist & multi-modality imager @EKHUFT, music lover & clarinettist @eudocsorch.","Canterbury, England"
10841,1201932387376148481,Consultant Cardiologist at Imperial & Chelsea and Westminster NHS Trusts. Hon. senior lecturer at Imperial. Views are my own.,"London, England"
10849,2281704230,"Cardiologist & EP. British Heart Foundation Research Fellow. ❤️ electrics of the ❤️, research and cycling far as fast as possible. Tweets my own","Newcastle, New South Wales"
10851,1044761636,"Consultant Interventional Cardiologist @LNWH @RBH. PhD. Microbubbles. Ultrasound molecular imaging. Patents. Alum: EdinburghUni, ImperialCollegeLond, Fuwai Hosp","London, England"
10893,1105697748903288832,Medical Doctor. Healthcare VC. All views are my own,"London, England"
10902,700456064051970051,"PhD. Cardiologist. EP Consultant at Royal Brompton Hospital, London. Chair #EHRA_ESC #YoungEP committee 🇵🇱🇬🇧","London, England"
10913,987356680445972480,Consultant Cardiologist and Electrophysiologist\nSenior Lecturer\nPassionate about Syncope and Arrhythmias,"Hammersmith Hospital, London"
10914,1107312417724354560,Locum Consultant Cardiologist at West Herts Hospitals with specialist interest in EP and complex devices...and mum of 3😃,"London, England"
10925,700801904620785664,Consultant Cardiologist & Electrophysiologist. Proud mother of two. AI CMR and all things VT enthusiast.  Tweets are my own opinion.,"England, United Kingdom"
10933,1084116047744122880,"Consultant Interventional Cardiologist, University Hospital Southampton NHS Foundation Trust","London, England"
10946,532309211,"Consultant Cardiologist @WorcsAcuteNHS, Electrophysiology and Pacing Specialist, Honorary Consultant @nhsuhcw, lecturer of Cardiology @ainshamsegypt",United Kingdom
10947,1016951090988929024,Cardiologist and Electrophysiologist @RBandH @GSSTnhs | Vice-President Education - Elect @BritishCardioSo | Editor @OUPMedicine |Alumni @UofT @Imperialcollege,"London, England"
10953,827253549809672193,Consultant Cardiologist@WestHertsNHS. Associate Medical Director: Quality/ Innovation. Clinical Lead for Virtual Hospital. Hon Clinical Senior Lecturer@Imperial,London
10963,1914946992,Consultant Cardiologist @RoyalFreeNHS. \nHeart Failure - Cardiac Imaging - Cardiometabolic & Perioperative Medicine.    \n🫀🩺💉💊🇵🇹🇩🇪🇬🇧🇪🇺,"London, England"
10999,2814957159,"Consultant Cardiologist, Royal Brompton Hospital. Honorary Senior Lecturer, Imperial College London. Specialist in CMR, Inherited & Inflammatory Cardiomyopathy.",London
11002,1696322767,"Consultant Cardiologist @buckshealthcare @rbandh @uniofoxford @lmhoxford\n\nHeart failure, heart transplant, CMR & research\n\nTrustee @assistrr\n\n⚽🏏🤴👸🏼👸🏼",UK
11014,805465069479989249,Cardiologist Electrophysiologist CMR Enthusiast. Trained in 🇬🇧🇨🇦EP Pacing CMR. Passion for education and sport. Manchester Foundation Trust,"Manchester, England"
11022,3820774102,Consultant Cardiologist | Senior Clinical Lecturer @Kings_BHFCentre | Heart failure | #HFpEF | Imaging | Health data research.,London
11023,927569822350807041,Cardiologist in training.  Heart failure and EP research fellow.,"Leicester, England"
11027,927271399001075716,"Cardiologist, Scientist.\n\nI separate taking my work seriously (I do) vs myself seriously (I don't)\n\nIdeas my own (best ones stolen from my amazing PhD students)","London, England"
11032,3859732637,"Clinician Scientist. Consultant Cardiologist and Obstetric Physician. Inherited cardiac conditions, medical disorders in pregnancy & maternal cardiology","London, England"
11037,263373566,"Consultant Cardiologist | Coronary & Structural Heart | Reading, Berkshire | Hammersmith Hospital, London | Visiting Professor, Reading | The Berkshire Clinic","England, United Kingdom"
11039,1373181247,Senior Lecturer and @TheBHF IRF at @imperialcollege | Honorary Consultant Cardiologist @ImperialNHS | PhD in machine learning in cardiovascular imaging,"London, UK"
11091,1018413226114125824,Consultant Oral & Maxillofacial Surgeon founding President of the Society of Women in Maxillofacial Surgery; Pianist; Artist; Poet; Mentor and Coach; Writer,England
11104,1349054627820548097,Official Twitter account of the Moynihan Academy - The Training Academy of the Association of Surgeons of Great Britain and Ireland @asgbi,United Kingdom
11107,1183346114407419905,Final year medical student @imperialmed | Past @ICSMSurgicalSoc @BscIcl | Steering Committee @STARSurgUK | Aspiring Academic Surgeon,London
11127,1571498146471055361,Private Oxford Colorectal Surgeon • Interest in Colorectal Cancer • Ulcerative Colitis • Crohn’s Disease • Proctology • Robotic Colorectal Resections,"Oxford, England"
11141,750779531288416256,"Aspiring Surgeon. Msc Surgical Innovation at Imperial College,London.🇮🇳🏳️‍🌈","London, England"
11157,1107434194903449600,Locum Consultant Paediatric Surgeon | Enhancing Surgical Training | Simulation | Network Building & Collaboration |,London
11169,2340278762,"Consultant Colorectal Surgeon at BHR with interests in Colorectal cancer, advanced/recurrent rectal cancer, IBD, ileoanal pouches, robot-assisted surgery.","London, England"
11220,1240243184342650881,Aspiring Husband | General Surgeon @LivHospitals | Liver Researcher @LivUni @The_MRC | Research Audit Lead @Roux_Group,"Liverpool, UK"
11247,1512297190604955649,"Australian General Surgeon with interest in Colorectal Surgery\n Surgical Academia @UNSW,@USyd,@GSA\nKing Edward Medical College Alumni","Sydney, New South Wales"
11337,2934279634,"Consultant General & Colorectal Surgeon | Colorectal Cancer Lead, Manchester Royal Infirmary","Manchester, England"
11363,2933239210,"Dad, PlasticSurgeon, Clin Innovation Lead @BucksHealthcare, Editor Royal College of Surgeons Bulletin @rcsnews, Co-Founder @Tournistrip #ABCD","Oxford, England"
11369,1184064279315697665,"Director of UG Med Ed @OUHospitals, Paediatrician, Hon sen lecturer @UniofOxford, Lead QI Hub, Foundation TPD. Training advisor RCPCH All views my own.","Oxford, England"
11375,2358232499,Consultant Oral & Maxillofacial/ Head & Neck Surgeon. All opinions are my own,"England, United Kingdom"
11383,24983384,Neurosurgery Registrar @nhsbartshealth\n@GOSHCharity / @RCSNews  Surgeon Scientist Fellow\nNeuro-Oncology | Tractography | Paediatric Neurosurgery,"London, England"
11389,931963892221267968,"Mother, Surgeon,Teacher.🏳️‍🌈🇪🇺🏴󠁧󠁢󠁳󠁣󠁴󠁿🇸🇪","Oxford, England"
11399,219462350,"UKRI FLF, Vascular Surgeon, Clinician Scientist, Innovator, Optimist. Looking forward to the new era of precision surgery.","Oxford, UK"
11447,4824898078,"RSO - post CCT Fellow at St Mark's, The National Bowel Hospital. General and Colorectal Surgeon. @uoaofficial PhD Candidate.","London, United Kingdom"
11450,1394132917207457794,"Program Manager for ""World Congress on Surgery, Surgeons and Anesthesia"" | November 17-18, 2021 | London, UK. | WhatsApp: +44-3308088515","Heathrow, London, UK"
11560,3338678194,Robotic and minimally invasive surgeon. Abdominal wall Reconstruction. Consultant Colorectal Surgeon. All views are my own,"Milton Keynes, England"
11575,2762818594,Consultant Colorectal Surgeon,United Kingdom
11618,1382047568,"Upper GI/General/Major Trauma Surgeon @RIE_Lothian Interests| OG cancer, Outcomes Research, Mountains, Family| #NOTSS faculty","Edinburgh, Scotland"
11620,954341285816659968,"MD @JUNEMedical | Award winning Medical device GALAXY II | if you want cats, musical theatre and kids pop across to @emmamaidwell - all views my own","High Wycombe, England"
11633,1233533156873187333,"Consultant Surgeon,FRCSEd PhD, interested in surgical research methodology,political discourse,& secularism.Enemy of bad science and charlatans everywhere;)","Darlington, England"
11698,1207984126198009856,"Surgeon, Sub-specialty Fellow in Gynaecological Oncology, \n\n@IJGConline International Fellow\n@hla_int Scholar 2021-22 @rcsnews @rcobsgyn","London, England"
11787,2332390670,General Surgeon in training\n@asgbi_ma #Wellbeing Lead. Former @welshfellow and @rcsed rep.\n\nAll about #patientsafety and work life balance 🐶🏊‍♀️🚴‍♀️🏃‍♀️,"Wales, United Kingdom"
11788,2732750002,Consultant Surgeon,"London, England"
11825,104778706,The Association of Surgeons of Great Britain and Ireland (ASGBI) represents general surgery and all its related specialties throughout the UK and Ireland.,London
11829,2669380000,"Lifelong learner, Rugby-mad Colorectal Surgeon","South East, England"
11854,186220722,"Father, Husband. Consultant Colorectal Surgeon @qeuh_surgery. Honorary Senior Clinical Lecturer @UofGMVLS. Views are own.","Glasgow, Scotland"
11927,3394560029,Surgeons performing surgical trials - ours and others. Happy to retweet,"Glasgow, Scotland, UK"
11933,1076736554381594624,"Colorectal Cons Surgeon, Manchester. Hair colour changes weekly. If I'm not at home, I'm at a gig/festival/on holiday. Experienced tidsoptimist. Own views etc","Manchester, England"
11934,1930286780,MBBS MSc PhD FRCS | Colorectal Surgeon London | Honorary Clinical Lecturer Department of Surgery & Cancer Imperial College | Views of my own,"London, England"
11959,1227940039105093632,MD FRCS | Upper GI Surgical Registrar Severn Deanery,"Bristol, England"
11976,1084479687148085250,"Upper GI / Bariatric Surgeon @CHFTNHS | Surgical Clinical Lead, @aec_network | Regional Director, Yorkshire and the Humber @RCSnews | All Views My Own","Leeds, England"
12100,913161438268723200,"Colorectal Surgeon. Pelvic Floor interest. NIHR Lead for Surgery, Greater Manc. RCS Regional Director North West-eastern sector. Views expressed are my own.","Manchester, England"
12149,1272654986,Consultant HPB Surgeon & Clinical Lead for General Surgery @MFT_MRI | President-Elect @ASGBI #Gallbladder #Hernia @SpireManchester (he/him),"Manchester, England"
12151,3079546965,Consultant HPB Surgeon at UHW Cardiff. #Surgerygirl #womeninsurgery😎. Perioperative care matters. Prehab makes a difference 💕where’s the beach?🏝,"Cardiff, Wales"
12172,52128052,"(She/her) Colorectal surgeon, high resolution anoscopist (HRA)/anal cancer prevention \nChair Women in Surgery Forum \nRoyal College Surgeons England\nViews my own","London, UK"
12181,936310621,"Consultant Colorectal & General Surgeon, Homerton University Hospital, London.","London, England"
12229,1044851052741382144,Breast Surgeon | NIHR Academic Clinical Lecturer Oncoplastic Breast Surgery | Wife | Mother | Living Nine Lives @kittyfairhurst 🎓@MFoldResearch,"South West, England"
12267,2413847079,PhD FRCS FRSB | Cons HPB Surgeon @RoyalSurrey @GuildfordHpb @UniOfSurrey @ImperialSandC | Hunterian Professor @RCSnews |#miRNAs #PDAC #Exosomes #ImmunoOncology,"London, England"
12303,95280635,Medical Director JnJ | Ex NHS Consultant Surgeon | Transforming Healthcare one individual at time. All views expressed are my own.,United Kingdom
12306,1561561250,"Surgeon & Author #Herniator #CHO - 6th President @BritishHernia, @FortiusclinicUK - Professor @ManMetUni & @OfficialUoM - own views",Manchester/ London
12317,595407671,"Consultant Endocrine Surgeon, Hammersmith Hospital, Imperial College, London. #endocrinesurgery #thyroid diseases #hyperpara #adrenal https://t.co/XtoXe3wlEQ","London, England"
12321,1054116878065561600,"Consultant Endocrine & General Surgeon @SwanseabayNHS, Senior Clinical Lecturer @SwanseaUni #TrailRunning @OpCOVID @ResearchWelsh @welshFRCScourse",South Wales
12330,750168834892496896,"Colorectal Surgeon - #hellomynameis - compassion, empathy, integrity - proud NHS - loving husband - LGBTQ - he/him https://t.co/D6mFgjXLjj","England, United Kingdom"
12341,912258110567395328,"Pelvic Floor/ Colorectal Cons Surgeon NHS-L. NHS Lothian Public Entrepreneur, RSA Fellow, Medical escape room creator, a multipassionate altruistic maverick.","Glasgow, Scotland"
12369,2430188371,"Associate Professor of Surgery, Vascular Surgeon, Director of Surgical Education, Oxford University. Director of Collaborating Centre for values based practice,","Oxford, UK"
12408,913103802798153746,"Surgeon championing Safety, Training, Wellbeing. Editor Grays Surgical Anatomy. Human Factors PhD. 2022 Silver Scalpel Award. Elected Council Member RCS England","South Coast, UK"
12414,1965054012,"#General Surgeon #MSc in MIS, Robotic and Telesurgery # Happy father of 2 boys",London
12420,1098304794,"Consultant Colorectal & General Surgeon, Salford Royal NHS Foundation Trust","Manchester, England"
12428,2373990753,"Consultant Vascular Surgeon, Newport, UK | @BSETnews council member | @VascResearchNet | Amputation @VSGBI SIG | Vascular Research | Wound healing |","Cardiff, South Wales"
12430,3382859685,Consultant Colorectal Surgeon. Mum. Training Lead @JAG_endoscopy. Honorary Senior Lecturer @ImperialSandC. Chair @ACPGBI Colonoscopy. @One_Welbeck,"London, England"
12460,1025049983039492096,Consultant General and Colorectal Surgeon #colorectalsurgery #general #AthensMedicalGroup,"London, England"
12479,2500166095,"Consultant Surgeon, St. Mark's Hospital, London. Epicurean. Father of three....","London, England"
12494,79518541,"Plastic Surgeon Trainee, Academic and Entrepreneur. Co-Founder CEO @_digitalsurgery @TouchSurgery #robots and #ai","London, NYC, LA"
12498,40647064,Consultant Colorectal Surgeon | Assistant Honorary Secretary @ACPGBI | IBD Sub-Comm @ACPGBI | Editorial Advisory Board Colorectal Disease,"Manchester, England"
12505,714952074027483136,"Clinical Senior Lecturer ,Consultant Colorectal Surgeon ,Department of Surgery and Cancer Imperial College Chelsea & Westminster  and Royal Marsden Hospital","London, England"
12509,2371624018,Captain Royal Troon Golf Club @RoyalTroonGC Chair Joint Committee on Intercollegiate Examinations. Cons Surgeon @NHSaaa Hon. Senior Research Fellow @UofGlasgow,"Troon, Scotland"
12530,605243491,Dad | Husband | Doctor | UGI Surgeon in Training | Views Own | @SoSJournalClub,"South West, England"
12544,610046640,"Colorectal and General Surgeon, IBD interest, Gooner, views expressed are my own. Eternal optimist for the return of the glory Srilankan cricket days",London
12566,381727994,"I am a Consultant Colorectal Surgeon, specialising in Laparoscopic (Keyhole) Surgery, for conditions such as colorectal cancer, diverticulitis and IBD","Rotherham, UK"
12568,996505244195545088,Colorectal and General Surgeon @ Manchester Royal Infirmary | Robotic Lead | Past president Dukes' Club | Bowel cancer surgeon | Endoscopist | Laparoscopist,"Manchester, England"
12576,932493602093137920,Consultant Colorectal Surgeon @WWLNHS,"Lymm, England"
12599,168679723,"Medical Director at System C & Graphnet Care Alliance, Former Surgeon, Founder of CareFlow Connect","Bristol, UK"
12604,844229765217378305,"Consultant Colorectal Surgeon. PPAC2 TMG/TSC, Mum, Runner @PPAC2trial @NWRC. All views expressed are my own.","Manchester, England"
12625,973163321385017344,Consultant Colorectal Surgeon. A passionate educator of my pioneering TME procedure.,"Basingstoke, England"
12626,387176695,Cardiac Surgeon. Council Member of Royal College of Surgeons of England - All Views My Own #LiftAsYouClimb #ILookLikeASurgeon,United Kingdom
12651,426607542,Consultant General and Laparoscopic Surgeon,"Camberley , England"
12664,457847958,Husband. Father to 4. Carer. Consultant Colorectal Surgeon. My views are my own.,United Kingdom
12681,372460316,Consultant Colorectal Surgeon  Dorset County and BMI Winterbourne Hospitals,"South West, England"
12709,759532112,Consultant General and UGI Surgeon @sthknhs | Amateur Photographer | Director informatics @ibcclub1 | Married to @emmashogg,"Liverpool, England"
12737,4084957829,"Consultant Colorectal Surgeon, UK.Editor of Safe Hands Surgical Book.Alumnus @waitematadhb NZ.🇸🇩🇬🇧🇳🇿 #Roboticsurgery . Decisions before the incisions","Norwich, England"
12742,318693070,"Husband, daddy, surgeon, academic, pilot, sailor and lover of music and wine. Consultant Surgeon @TheChristieNHS #CPOC Associate Editor @BJSurgery","North West, England"
12780,877748705398579202,Consultant Surgeon @UHBTrust & @DMS_RCDM | MA PhD FRCS etc | A/Prof @unibirmingham | Editorial Board @MilitaryH_BMJ | grad @CaiusCollege,UK
12814,2236122277,Upper GI Surgeon,"Birmingham, UK"
12819,537988476,Consultant Vascular Surgeon @ImperialNHS. Hon Clin Senior Lecturer @ImperialCollege. Co-I @NIHRresearch @GAPSTrial @NESICTrial @TrialCHAPS @PadTrial @PetsTrial,"London, UK"
12821,856979770768338944,Colorectal Surgeon #exenteration #robotic #colorectalsurgery My views are my own.,London United Kingdom 
12835,3318052011,Bariatric Surgeon. ☘️ in London,London
12836,4264498035,"Research Fellow, Royal Marsden Hospital and Institute of Cancer Research. Royal College of Surgeons Research Fellow","London, England"
12837,778672335150784513,"Colorectal Surgeon Swansea and BJS Editor. Views expressed are my own. #colorectalsurgeon , #surgicalresearch, #brjsurgery, #colorectalsurgery","Swansea, Wales"
12840,2156584778,Atypical Orthopod - Consultant Shoulder and Elbow Surgeon @RCHTWeCare | Travel | Photography | Running |,"Truro, England"
12841,794976970463449088,"Consultant Surgeon, colorectal/intestinal failure unit, Director of Postgraduate Medical Education. Salford Royal.","Manchester, England"
12844,710549757870153728,Consultant EGS and Colorectal Surgeon. #pelvicfloor #IBD #IF #EGSTrauma. Past PF and IF Fellow St Marks. Past @TPFSuk & @Dukes_Club Exec,United Kingdom
12846,797550444650397697,MRC Clinical Research Fellow (#Circadian). Surgical Reg. @BJSurgery Associate Editor (#SoMe). @WomenSurgeonsUK. @UpperGIResearch (#Bariatrics). Views are mine.,United Kingdom
12847,804056361357234176,"Consultant Colorectal Surgeon| Western General Edinburgh| IBD, Endometriosis, Gynae Oncology, Teaching, Training & Collaborative Research| 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇯🇴","Edinburgh, Scotland"
12854,769950208289562629,"Colorectal Surgeon @nhsUHCW Researcher, Innovator, Educator and Virtual simulation enthusiast. https://t.co/ybQZXDMTbu","Coventry, England"
12884,2670484788,Cons Colorectal Surgeon @MFTnhs Director Education+Training @asgbi Personal views only,"Manchester, England"
12898,2362896220,"Consultant Upper GI & Weight loss Surgeon, Surrey. An educational page for weightloss surgery and a celebration of our patients success #wls #weightloss #sleeve","South East, England"
12900,1871826698,Consultant Colorectal Surgeon at The Royal Cornwall Hospital Trust,United Kingdom
12910,414224695,"Consultant Surgeon in Inverness, NHS Highland. Hon. Prof. of Surgery - Aberdeen University. UKMed. RCSEd Council.",Scotland
12913,1261625048,"Consultant Colorectal Surgeon @JGColorectal, Leeds Teaching Hospitals, UK | PhD FRCS | @ACPGBI R&A Chair | @BowelResearch Trustee | @ClevelandClinic Alumni |","Leeds, England"
12934,3771462688,"Past President ACPGBI. Semi - retired Consultant Surgeon / Divisional Medical Director Surgery, Chelsea and Westminster Hospital London. Views are my own.","London, England"
12952,727790008501977089,"National Research Collaborative Meeting 2016 | Focusing on trainee collaborative research | 30th November '16 | Royal College of Surgeons of England, London","London, England"
12955,120757976,Consultant Colorectal and General Surgeon\nEducational Lead for National Pelvic Floor Society,Dorchester UK
12961,712373551635013633,Colorectal Surgeon @GSTTnhs / ex- @EYCN_ACP Chair /@ACPGBI IBD / @SydneyLHD Fellow/@dukes_club Past President /@ASGBI Gold Medal /PhD Machine Learning. She/her,"London, England"
12962,816992521,Consultant Colorectal Surgeon at @nhsswft. Interests in #IBD and Colorectal Cancer surgery. Past President @Dukes_club.,United Kingdom
12964,707640873396342785,Surgeon| Deputy Medical Director| Affiliated Assoc Prof @Cambridge_Uni |Fellow @downingcollege | @acpgbi | @RSMcoloproct | My Views | RT&like not endorsement,"Cambridge, England"
12971,812916565,General and Colorectal Surgeon @WesternHSCTrust. Surgical Oncology and Peritoneal Malignancy fellow @Matersurgery 2021. Yogi. #MedEd #colorectalsurgery 🌈,UK
12973,138769801,"Consultant Colorectal Surgeon, Oxford University Hospitals","Oxford, UK"
12981,50483609,Prof Surgery & Data Science. Head Centre for Medical Informatics @EdinUniUsher HPB Surgeon https://t.co/ufwF2g4Mct R4HDS author @GlobalSurg largest surgery network,"Edinburgh, UK"
12991,437061356,The Association of Surgeons in Training (ASiT) is a registered charity & educational organisation working to promote the highest standards in surgical training,"London, UK"
12998,84273120,PlastIc Surgeon. Past President of FSSA/BAPRAS/EASAPS/BAAPS/ Chair of Surgical Forum + 1st ASPS Overseas board member. FRCS Ed ad hom. Master of Laws (Cardiff),"Bristol, England"
13003,524200077,"Colorectal Surgeon @UHP_NHS Chair @BCWcharity, @JAG_Endoscopy and Director Lapco International Consultancy. Views are mine.","Plymouth, England"
13009,3211934961,"Academic Department of Surgery at the University of Birmingham, UK.\nKey partner of @NIHR_GSU, @BISTC1, @beggs_lab, @WMRC_UK\n@unibirm_MDS | @unibirmingham","Birmingham, England"
13023,368263202,Dad to Daughters | Trainee Plastic Surgeon | Cyclist | DPhil in Blast Mechbio @oxengsci @Dstlmod | @Fulbrightawards |@JLA BurnsPSP\nCo-Founder @mapsvaxi @Oxvent,"Oxford, England"
13040,3264499108,Breast Surgeon | @JCST_surgery Breast Fellow RD&E | Vice Chair @TheMammaryFold1 | Swimmer 🏊🏼‍♀️ | Mama 👧🏼🧒🏼,"Bristol, England"
13042,2442632201,Consultant Colorectal Surgeon interests colorectal/anal cancer & complex abdo wall @SwanseaBayNHS | Hon Senior Lecturer @SwanseaUni | @welshfrcscourse,South Wales
13049,1471008648,Consultant Colorectal Surgeon - Robotic/MIS CRC & IBD | RCSEng Council |ASGBI - EDI | ex-Y-ECCO chair | #LiftAsYouClimb #StrongerTogether #BeKind | Views My Own,United Kingdom
13071,326022971,Dad² | Consultant Surgeon @TCOGC | Hon Tutor @medicalbristol | UGI Cancer | Robotics @cmrsurgical | Hernias | SurgTraining | ASiTPastPres | Liverpudlian,"Gloucestershire, England"
13074,52677067,Consultant Colorectal Surgeon @CV_UHB | Fellow @MayoClinic | Ex @RCSnews research fellow and @FMLM_UK alumnus,"Cardiff, Wales"
13075,2427272535,"Consultant Oncoplastic & Cosmetic Breast Surgeon, AMD and ICS Liason Lead , CAG Co-Lead TVCN Alliance. All views are my own","South West, England"
13121,115358710,"Official Twitter account of the Commonwealth Scholarship Commission in the UK. For queries, contact us via email https://t.co/MDY5yzrdLc…","London, UK"
13123,859422947399827456,Core Surgical Trainee - WOKE Medicine Founder - Melanin Medics Outreach & SurgIn Programme - BMBS MSc ClinEd - Future Plastic and Reconstructive Surgeon 🙏🏾,United Kingdom
13308,715126434302394368,Consultant Cardiologist in Heart Failure and Devices. Honorary Senior Clinical Lecturer ARU. #FreedomFromFailure #TheFword #BEATHF,"Essex, United Kingdom"
13468,366007237,"Past President @ICS_updates, Deputy MD @RoyalPapworth, Consultant in Intensive Care. Belfast Boy. Likes bikes 🚴‍♂️butterflies 🦋biscuits 🍪 Views = own.",Cambridge UK
13500,1230438035738722306,"Sheffield - based Cardiologist, EP consultant, numbers nerd and studio geek","Sheffield, England"
13685,2345810459,"Health Researcher & Facilitator. Liverpool Uni; Durham Uni. TMRP. WRI. LHP SPARK. DUK. T1D. MDI. Interest: diabetes, wellbeing, mental health, clinical research","Southport, England"
13775,1676602632,#Cardiology Fellowship @   #Kings  #College #London.                 #Cardiologist @ FMSB-UY1.\n#Christian. #Jesus is Lord.        #Passion= #Teaching #Medicine.,London - United Kingdom  
13799,366662346,Cardiologist @BartsHospital & @UCLH #HeartFailure #InfectiveEndocarditis #yescct. @QMULWHRI PhD: inorganic nitrate & cardiac inflammation. Personal opinions.,London
13933,934692423518765056,"Professor of Medicine/ Academic Director WARC, CSANZ Past President, Cardiologist","Sydney, New South Wales"
14090,326401190,"Cardiologist, Associate Prof, Director of Echocardiography, Advanced HF/Transplant physician @westernu. MMA enthusiast. Alum @ClevelandClinic @DalhousieU @UBC","London, Ontario"
14206,968102243156287489,Cardiologist and Proud Mum 💕,"London, England"
14294,1122795876089585665,Consultant Interventional Cardiologist- Lancashire Cardiac Centre-UK/ Lecturer of Cardiology-Ain Shams University Hospitals-Egypt,United Kingdom
14311,289595108,MD MRCP ICOS Certified Cardio-oncology Doctor @RoyalBrompton/. Primary Care Physician / Member @ICOSociety /Clinical Advisor @RCGP Views are my own,"London, England"
14343,326671854,"Consultant Transplant Surgeon,Lead for Transplantation,Chair Clinical Ethics Committee @ImperialNHS. @ESOTtransplant & @BTStransplant Council member.@UEMSEurope","London, United Kingdom"
14408,14213190,Procedural Heart Failure Cardiologist. Interested in all things heart failure and pulmonary hypertension. Retweets ≠︎ endorsements.,"Newcastle, New South Wales"
14544,945646451572473856,"Father, Husband , NHS Cardiologist and proud of it . Film and football lover","North West, England"
14585,1256900747427483648,Consultant Cardiologist in Cardiac Imaging Warrington and Halton Teaching Hospitals NHS Foundation Trust,Warrington - United Kingdom
14708,303109640,"Consultant Orthopaedics/Sarcoma Surgeon LUHFT,Liverpool,UK.\nTweets are personal views-mainly related to the profession",Liverpool/Birmingham/UK
14767,1147824332430827520,"CCIO, Cardiologist, PhD, Incurable Techie, Democracy, Science, Entrepreneur Prone to fits of apathy 🤭 Opinions my own, definitely not medical advice https://t.co/X68wjymbYy",United Kingdom
14839,108600805,"MD(Liv), CCT, Founder:""Cardiology Cases-UK"", Consultant Cardiologist LUHFT/LHCH, Medical Director @ Broomwell Healthwatch. Interests: Education, Pacing & Sports","Liverpool, England"
14923,15003691,FRCSEd(Plast) FEBHS. Trans-Pennine Hand and Plastic Surgeon. #plasticsurgery #handsurgery 🇬🇧 🇲🇾,"Manchester, England"
15085,1243774204815835137,Consultant Cardiologist - Cardiac Device therapy and Lead for Heart Failure.\nKettering General & BMI Three Shires Hospitals. \nMum.\nViews are my own.,"East Midlands, England"
15111,1238539085511380994,Consultant Cardiologist | #advancedHF @LivHospitals #FESC Hyperbaric/Diving Medicine #DDRC DMAC #BSAC,North West England
15132,1012325795237388288,Cardiologist | Portfolio career | NHS entrepreneur 🎤 Fresh Heart Project 🎬 1st time film producer. 👉🏽Opinions are my own👈🏽 @freshheartproj,United Kingdom
15190,1208655789268725761,"IJVSMD welcomes your efforts in the form of research, review papers, short communications, editorials, Book reviews, commentary, or any other type of articles",UK
15217,1109418373652201474,"Preventative , Sports and Imaging Cardiologist helping patients navigate their way to heart health.","Sydney, New South Wales"
15227,58187189,"Cardiac Surgeon (mitral, beating heart CABG, total arterial). Researcher. Educator. Baby wingman. Tech. Kitchenery. Personal opinion only.","Liverpool, UK"
15449,337346349,"Medical Doctor: Sports Medicine, Endocrinology, Preventive Medicine. Scientist: Longevity Medicine, Lifestyle&Health. President @esprevmed",NYC/London
15547,1125862449280843776,ST5 #Rheumatology & GIM •@MECCambridge alumna •SoMe Co-Lead & #EULARTV @EMEUNET •Editorial Board & SoMe @RheumJnl •#Epidemiology #Infection #Comorbidities #RMDs,"London, England"
15671,175737279,"Founder, @Gha_Foundation @GhaHealth l Hon.Cardiologist,@StGeorgesTrust London l #HeartFailure #CardioMetabolic l #GlobalHealthAdvisor",Global; London
15682,1055298570713227265,"MB/BChir/MD/PhD student in palliative & end of life care, cambridge school of clinical medicine 💭ageing, palliation, pain, anaesthesiology, Qo life & death","cambridge, UK"
15688,4910705889,Heart Surgeon❤Lead Surgeon for Healing Little Hearts @HLHcharity. British Heart Foundation's Health Care Hero 2019 @TheBHF. Head of Cardiac Surgery @AlderHey,"Liverpool, England, UK"
15697,866767948916154368,Consultant Cardiologist and Heart Failure Specialist in Manchester. Opinions are Dr Shaw's own.,"North West, England"
15832,285065008,"Clare Gallagher Owner/MD Healthcare Conferences UK, 2021 SME National Business Woman of the Year, Passionate about #quality in #NHS, busy working mum four kids","London, UK"
15948,1323892722885922820,Founder/MD @PartnersMosaic #leadership #culture #coaching. Trustee @WEWGC. I am a mosaic and that is art 🖼 ❤️,"Newcastle Upon Tyne, England"
15960,220923306,Consultant Colorectal Surgeon South Tyneside & Sunderland Hospital. Junior Doctor Lead for STSFT. Faculty on Alpine FRCS. Lead for Higher FRCS Q bank.,"Sunderland, England"
